"request_time","request_day","number_of_rides","platform","age_range"
"00","03/08/2021","1","ios","Unknown"
"00","03/09/2021","1","android","25-34"
"00","03/09/2021","1","android","Unknown"
"00","03/09/2021","1","ios","18-24"
"00","03/09/2021","2","ios","25-34"
"00","03/09/2021","1","ios","35-44"
"00","03/09/2021","1","ios","45-54"
"00","03/09/2021","1","web","Unknown"
"00","03/10/2021","1","android","25-34"
"00","03/10/2021","1","ios","25-34"
"00","03/10/2021","1","ios","35-44"
"00","03/10/2021","1","ios","Unknown"
"00","03/11/2021","1","android","45-54"
"00","03/11/2021","1","android","Unknown"
"00","03/11/2021","1","ios","18-24"
"00","03/11/2021","2","ios","25-34"
"00","03/11/2021","1","ios","35-44"
"00","03/11/2021","1","ios","Unknown"
"00","03/12/2021","2","android","25-34"
"00","03/12/2021","1","android","Unknown"
"00","03/12/2021","2","ios","45-54"
"00","03/12/2021","1","ios","Unknown"
"00","03/12/2021","2","web","35-44"
"00","04/01/2022","1","android","45-54"
"00","04/01/2022","1","android","Unknown"
"00","04/01/2022","2","ios","18-24"
"00","04/01/2022","1","ios","25-34"
"00","04/01/2022","2","ios","35-44"
"00","04/01/2022","1","ios","Unknown"
"00","04/02/2021","1","android","18-24"
"00","04/02/2021","1","android","35-44"
"00","04/02/2021","1","ios","Unknown"
"00","04/02/2022","1","ios","18-24"
"00","04/02/2022","1","ios","25-34"
"00","04/03/2022","1","ios","Unknown"
"00","04/04/2021","1","android","35-44"
"00","04/04/2021","1","ios","35-44"
"00","04/05/2021","1","android","25-34"
"00","04/05/2021","2","android","35-44"
"00","04/05/2021","2","android","45-54"
"00","04/05/2021","2","ios","25-34"
"00","04/05/2021","1","ios","35-44"
"00","04/05/2021","1","ios","45-54"
"00","04/06/2021","1","android","25-34"
"00","04/06/2021","1","ios","18-24"
"00","04/06/2021","1","ios","Unknown"
"00","04/07/2021","1","ios","Unknown"
"00","04/07/2021","1","web","25-34"
"00","04/08/2021","1","android","Unknown"
"00","04/09/2021","1","android","18-24"
"00","04/09/2021","1","android","25-34"
"00","04/09/2021","1","android","45-54"
"00","04/09/2021","1","ios","18-24"
"00","04/09/2021","2","ios","35-44"
"00","04/09/2021","1","web","Unknown"
"00","04/10/2021","1","android","25-34"
"00","04/10/2021","1","android","35-44"
"00","04/10/2021","1","ios","18-24"
"00","04/10/2021","2","ios","35-44"
"00","04/10/2021","1","ios","Unknown"
"00","04/11/2021","1","android","35-44"
"00","04/11/2021","1","android","45-54"
"00","04/11/2021","2","ios","25-34"
"00","04/11/2021","1","ios","35-44"
"00","04/11/2021","2","ios","Unknown"
"00","04/11/2021","1","web","25-34"
"00","04/12/2021","2","android","35-44"
"00","04/12/2021","1","android","Unknown"
"00","04/12/2021","1","ios","18-24"
"00","04/12/2021","1","ios","35-44"
"00","04/12/2021","1","ios","45-54"
"00","05/01/2022","3","android","35-44"
"00","05/01/2022","2","ios","25-34"
"00","05/01/2022","1","ios","45-54"
"00","05/01/2022","3","ios","Unknown"
"00","05/02/2021","1","ios","35-44"
"00","05/02/2022","1","android","45-54"
"00","05/02/2022","2","ios","25-34"
"00","05/02/2022","1","ios","35-44"
"00","05/03/2021","1","android","Unknown"
"00","05/03/2022","1","ios","Unknown"
"00","05/04/2021","1","ios","25-34"
"00","05/04/2021","1","ios","35-44"
"00","05/04/2021","1","ios","Unknown"
"00","05/04/2021","1","web","45-54"
"00","05/05/2021","1","web","45-54"
"00","05/06/2021","1","android","35-44"
"00","05/06/2021","1","android","45-54"
"00","05/06/2021","1","android","Unknown"
"00","05/07/2021","1","android","45-54"
"00","05/07/2021","3","ios","25-34"
"00","05/07/2021","1","ios","35-44"
"00","05/07/2021","2","ios","Unknown"
"00","05/08/2021","1","android","35-44"
"00","05/08/2021","1","android","45-54"
"00","05/08/2021","1","android","Unknown"
"00","05/08/2021","1","ios","18-24"
"00","05/09/2021","1","ios","18-24"
"00","05/09/2021","1","ios","25-34"
"00","05/09/2021","1","ios","Unknown"
"00","05/10/2021","1","android","18-24"
"00","05/10/2021","1","android","25-34"
"00","05/10/2021","2","android","35-44"
"00","05/10/2021","1","ios","18-24"
"00","05/10/2021","1","ios","25-34"
"00","05/10/2021","1","ios","35-44"
"00","05/10/2021","1","web","25-34"
"00","05/10/2021","1","web","35-44"
"00","05/11/2021","1","android","25-34"
"00","05/11/2021","2","android","35-44"
"00","05/11/2021","2","ios","35-44"
"00","05/11/2021","2","ios","Unknown"
"00","05/12/2021","1","ios","35-44"
"00","05/12/2021","2","ios","45-54"
"00","05/12/2021","3","ios","Unknown"
"00","06/01/2022","2","android","25-34"
"00","06/01/2022","1","android","35-44"
"00","06/01/2022","1","ios","35-44"
"00","06/01/2022","1","ios","Unknown"
"00","06/01/2022","1","web","35-44"
"00","06/02/2021","1","ios","25-34"
"00","06/02/2022","1","android","25-34"
"00","06/02/2022","2","android","35-44"
"00","06/02/2022","1","ios","18-24"
"00","06/02/2022","1","ios","35-44"
"00","06/02/2022","2","ios","Unknown"
"00","06/03/2022","1","ios","18-24"
"00","06/04/2021","1","ios","Unknown"
"00","06/04/2021","1","web","18-24"
"00","06/05/2021","1","android","25-34"
"00","06/05/2021","1","android","35-44"
"00","06/05/2021","1","ios","Unknown"
"00","06/06/2021","1","ios","18-24"
"00","06/07/2021","2","android","25-34"
"00","06/07/2021","1","ios","35-44"
"00","06/07/2021","1","ios","45-54"
"00","06/08/2021","1","android","25-34"
"00","06/08/2021","1","android","35-44"
"00","06/08/2021","1","ios","35-44"
"00","06/08/2021","2","ios","Unknown"
"00","06/08/2021","1","web","25-34"
"00","06/09/2021","1","ios","18-24"
"00","06/09/2021","1","ios","25-34"
"00","06/09/2021","1","ios","35-44"
"00","06/09/2021","1","ios","45-54"
"00","06/10/2021","1","android","25-34"
"00","06/10/2021","1","android","35-44"
"00","06/10/2021","1","ios","18-24"
"00","06/10/2021","1","ios","45-54"
"00","06/10/2021","5","ios","Unknown"
"00","06/10/2021","1","web","25-34"
"00","06/11/2021","1","android","25-34"
"00","06/11/2021","2","ios","25-34"
"00","06/11/2021","1","ios","35-44"
"00","06/11/2021","2","ios","45-54"
"00","06/11/2021","1","ios","Unknown"
"00","06/12/2021","1","android","18-24"
"00","06/12/2021","1","ios","25-34"
"00","06/12/2021","1","ios","Unknown"
"00","07/01/2022","1","android","25-34"
"00","07/01/2022","1","android","35-44"
"00","07/01/2022","2","android","Unknown"
"00","07/01/2022","1","ios","Unknown"
"00","07/02/2021","1","android","18-24"
"00","07/02/2021","1","ios","18-24"
"00","07/02/2021","1","ios","35-44"
"00","07/02/2022","1","android","25-34"
"00","07/02/2022","1","ios","25-34"
"00","07/02/2022","1","ios","35-44"
"00","07/02/2022","1","web","Unknown"
"00","07/03/2021","1","android","Unknown"
"00","07/03/2022","1","android","35-44"
"00","07/04/2021","1","ios","35-44"
"00","07/04/2021","1","web","25-34"
"00","07/05/2021","1","android","35-44"
"00","07/05/2021","1","ios","35-44"
"00","07/05/2021","1","web","45-54"
"00","07/06/2021","1","web","45-54"
"00","07/07/2021","2","ios","25-34"
"00","07/07/2021","1","ios","45-54"
"00","07/07/2021","1","ios","Unknown"
"00","07/07/2021","1","web","25-34"
"00","07/08/2021","1","ios","45-54"
"00","07/09/2021","1","android","45-54"
"00","07/09/2021","1","ios","18-24"
"00","07/09/2021","1","ios","25-34"
"00","07/09/2021","1","web","35-44"
"00","07/10/2021","1","android","Unknown"
"00","07/10/2021","2","ios","Unknown"
"00","07/11/2021","1","android","35-44"
"00","07/11/2021","1","ios","25-34"
"00","07/11/2021","1","ios","35-44"
"00","07/12/2021","1","android","25-34"
"00","07/12/2021","1","android","Unknown"
"00","07/12/2021","1","ios","35-44"
"00","07/12/2021","2","ios","Unknown"
"00","07/12/2021","1","web","35-44"
"00","08/01/2022","1","android","25-34"
"00","08/01/2022","2","android","35-44"
"00","08/01/2022","1","ios","35-44"
"00","08/01/2022","1","ios","45-54"
"00","08/01/2022","1","web","25-34"
"00","08/01/2022","1","web","35-44"
"00","08/02/2021","2","android","18-24"
"00","08/02/2022","1","ios","35-44"
"00","08/04/2021","1","ios","35-44"
"00","08/05/2021","1","android","18-24"
"00","08/06/2021","1","android","Unknown"
"00","08/06/2021","1","ios","35-44"
"00","08/07/2021","1","android","25-34"
"00","08/07/2021","1","android","35-44"
"00","08/07/2021","1","ios","35-44"
"00","08/08/2021","1","android","18-24"
"00","08/08/2021","1","android","25-34"
"00","08/08/2021","1","android","35-44"
"00","08/08/2021","1","ios","18-24"
"00","08/08/2021","1","ios","25-34"
"00","08/08/2021","1","ios","35-44"
"00","08/08/2021","1","ios","45-54"
"00","08/09/2021","1","android","35-44"
"00","08/09/2021","1","android","45-54"
"00","08/09/2021","2","ios","35-44"
"00","08/09/2021","1","web","25-34"
"00","08/10/2021","1","android","35-44"
"00","08/10/2021","2","android","Unknown"
"00","08/10/2021","3","ios","35-44"
"00","08/10/2021","1","web","Unknown"
"00","08/11/2021","1","android","35-44"
"00","08/11/2021","1","android","45-54"
"00","08/11/2021","1","ios","18-24"
"00","08/11/2021","1","ios","35-44"
"00","08/11/2021","1","ios","Unknown"
"00","08/11/2021","1","web","35-44"
"00","08/12/2021","1","android","18-24"
"00","08/12/2021","1","android","25-34"
"00","08/12/2021","1","android","35-44"
"00","08/12/2021","2","android","Unknown"
"00","08/12/2021","1","ios","35-44"
"00","08/12/2021","1","ios","45-54"
"00","08/12/2021","2","ios","Unknown"
"00","09/01/2022","2","android","25-34"
"00","09/01/2022","1","ios","35-44"
"00","09/01/2022","2","ios","Unknown"
"00","09/02/2021","1","ios","18-24"
"00","09/02/2021","1","web","Unknown"
"00","09/02/2022","2","android","35-44"
"00","09/02/2022","1","ios","18-24"
"00","09/02/2022","2","ios","25-34"
"00","09/02/2022","1","ios","35-44"
"00","09/02/2022","1","ios","Unknown"
"00","09/03/2021","1","android","25-34"
"00","09/03/2021","1","ios","18-24"
"00","09/03/2021","1","ios","25-34"
"00","09/04/2021","1","ios","35-44"
"00","09/04/2021","1","ios","Unknown"
"00","09/05/2021","2","ios","Unknown"
"00","09/05/2021","1","web","25-34"
"00","09/06/2021","1","ios","18-24"
"00","09/06/2021","1","ios","25-34"
"00","09/06/2021","1","web","Unknown"
"00","09/07/2021","1","android","25-34"
"00","09/07/2021","1","android","Unknown"
"00","09/07/2021","1","ios","18-24"
"00","09/07/2021","1","ios","35-44"
"00","09/08/2021","1","android","25-34"
"00","09/08/2021","1","ios","18-24"
"00","09/08/2021","2","ios","35-44"
"00","09/08/2021","1","ios","Unknown"
"00","09/09/2021","1","ios","18-24"
"00","09/09/2021","1","ios","25-34"
"00","09/09/2021","1","ios","45-54"
"00","09/09/2021","1","ios","Unknown"
"00","09/09/2021","1","web","25-34"
"00","09/10/2021","1","android","Unknown"
"00","09/10/2021","2","ios","Unknown"
"00","09/10/2021","1","web","25-34"
"00","09/10/2021","1","web","35-44"
"00","09/11/2021","1","android","35-44"
"00","09/11/2021","1","ios","25-34"
"00","09/11/2021","1","ios","35-44"
"00","09/11/2021","1","ios","Unknown"
"00","09/11/2021","2","web","45-54"
"00","09/12/2021","1","android","25-34"
"00","09/12/2021","3","android","Unknown"
"00","09/12/2021","1","ios","18-24"
"00","09/12/2021","1","ios","25-34"
"00","09/12/2021","1","ios","35-44"
"00","09/12/2021","1","ios","45-54"
"00","09/12/2021","1","ios","Unknown"
"00","09/12/2021","2","web","35-44"
"00","10/01/2022","1","android","35-44"
"00","10/01/2022","1","android","Unknown"
"00","10/02/2021","1","ios","18-24"
"00","10/02/2021","1","ios","25-34"
"00","10/02/2021","1","ios","Unknown"
"00","10/02/2022","1","ios","18-24"
"00","10/02/2022","1","ios","Unknown"
"00","10/03/2021","2","android","45-54"
"00","10/03/2021","1","ios","45-54"
"00","10/03/2022","1","android","35-44"
"00","10/04/2021","1","ios","25-34"
"00","10/04/2021","1","ios","35-44"
"00","10/05/2021","1","ios","18-24"
"00","10/05/2021","1","ios","35-44"
"00","10/05/2021","1","web","35-44"
"00","10/06/2021","1","android","25-34"
"00","10/06/2021","1","android","45-54"
"00","10/07/2021","1","ios","25-34"
"00","10/07/2021","2","ios","35-44"
"00","10/07/2021","1","ios","Unknown"
"00","10/08/2021","1","android","25-34"
"00","10/08/2021","1","android","35-44"
"00","10/08/2021","1","android","Unknown"
"00","10/09/2021","3","ios","35-44"
"00","10/09/2021","1","ios","Unknown"
"00","10/10/2021","1","android","Unknown"
"00","10/10/2021","2","ios","25-34"
"00","10/10/2021","1","ios","35-44"
"00","10/10/2021","1","web","45-54"
"00","10/10/2021","1","web","Unknown"
"00","10/11/2021","2","ios","45-54"
"00","10/11/2021","1","ios","Unknown"
"00","10/12/2021","1","android","35-44"
"00","10/12/2021","1","ios","25-34"
"00","10/12/2021","1","ios","35-44"
"00","10/12/2021","2","ios","Unknown"
"00","11/01/2021","1","ios","35-44"
"00","11/01/2021","1","ios","Unknown"
"00","11/01/2022","1","ios","25-34"
"00","11/01/2022","1","ios","Unknown"
"00","11/01/2022","1","web","Unknown"
"00","11/02/2022","1","android","25-34"
"00","11/02/2022","2","ios","35-44"
"00","11/02/2022","1","ios","45-54"
"00","11/03/2021","1","android","35-44"
"00","11/03/2021","1","android","Unknown"
"00","11/03/2021","1","ios","18-24"
"00","11/03/2021","2","ios","Unknown"
"00","11/04/2021","1","android","25-34"
"00","11/04/2021","2","android","35-44"
"00","11/05/2021","1","ios","18-24"
"00","11/05/2021","1","ios","45-54"
"00","11/06/2021","1","ios","45-54"
"00","11/07/2021","2","android","Unknown"
"00","11/07/2021","1","ios","35-44"
"00","11/07/2021","1","ios","45-54"
"00","11/07/2021","1","ios","Unknown"
"00","11/08/2021","1","ios","18-24"
"00","11/08/2021","1","ios","25-34"
"00","11/08/2021","3","ios","35-44"
"00","11/08/2021","1","web","45-54"
"00","11/08/2021","1","web","Unknown"
"00","11/09/2021","1","android","Unknown"
"00","11/09/2021","1","ios","35-44"
"00","11/09/2021","1","ios","Unknown"
"00","11/10/2021","1","android","35-44"
"00","11/10/2021","1","ios","18-24"
"00","11/11/2021","1","android","18-24"
"00","11/11/2021","1","android","45-54"
"00","11/11/2021","1","ios","25-34"
"00","11/11/2021","2","ios","35-44"
"00","11/11/2021","1","ios","45-54"
"00","11/11/2021","1","ios","Unknown"
"00","11/11/2021","1","web","Unknown"
"00","11/12/2021","1","ios","25-34"
"00","12/01/2022","1","ios","35-44"
"00","12/01/2022","1","ios","Unknown"
"00","12/02/2021","1","ios","Unknown"
"00","12/02/2021","1","web","18-24"
"00","12/02/2021","1","web","35-44"
"00","12/02/2022","1","ios","35-44"
"00","12/03/2021","1","ios","45-54"
"00","12/03/2022","1","android","45-54"
"00","12/04/2021","1","android","25-34"
"00","12/04/2021","1","android","35-44"
"00","12/04/2021","1","ios","Unknown"
"00","12/05/2021","1","android","18-24"
"00","12/05/2021","1","android","25-34"
"00","12/05/2021","2","android","45-54"
"00","12/05/2021","3","android","Unknown"
"00","12/05/2021","1","ios","25-34"
"00","12/05/2021","1","ios","Unknown"
"00","12/06/2021","1","android","18-24"
"00","12/07/2021","1","android","18-24"
"00","12/07/2021","2","ios","35-44"
"00","12/07/2021","1","ios","Unknown"
"00","12/08/2021","1","android","18-24"
"00","12/08/2021","1","ios","25-34"
"00","12/08/2021","1","ios","35-44"
"00","12/08/2021","1","ios","Unknown"
"00","12/09/2021","1","android","25-34"
"00","12/09/2021","1","android","35-44"
"00","12/09/2021","1","android","45-54"
"00","12/09/2021","1","ios","18-24"
"00","12/09/2021","2","ios","25-34"
"00","12/09/2021","1","ios","Unknown"
"00","12/09/2021","1","web","Unknown"
"00","12/10/2021","1","android","25-34"
"00","12/10/2021","1","android","Unknown"
"00","12/10/2021","3","ios","35-44"
"00","12/10/2021","1","ios","45-54"
"00","12/11/2021","2","ios","35-44"
"00","12/11/2021","1","ios","Unknown"
"00","12/12/2021","1","android","35-44"
"00","12/12/2021","1","ios","25-34"
"00","12/12/2021","1","ios","35-44"
"00","12/12/2021","1","ios","45-54"
"00","12/12/2021","3","ios","Unknown"
"00","12/12/2021","1","web","35-44"
"00","13/01/2022","1","android","Unknown"
"00","13/01/2022","2","ios","25-34"
"00","13/01/2022","1","ios","35-44"
"00","13/01/2022","1","web","Unknown"
"00","13/02/2021","1","android","45-54"
"00","13/02/2022","1","android","Unknown"
"00","13/02/2022","1","ios","25-34"
"00","13/02/2022","1","ios","Unknown"
"00","13/02/2022","1","web","35-44"
"00","13/03/2021","1","android","35-44"
"00","13/03/2021","1","ios","45-54"
"00","13/04/2021","2","ios","25-34"
"00","13/04/2021","1","ios","35-44"
"00","13/04/2021","1","ios","45-54"
"00","13/04/2021","1","web","35-44"
"00","13/05/2021","1","android","35-44"
"00","13/05/2021","1","ios","35-44"
"00","13/05/2021","1","web","25-34"
"00","13/06/2021","1","ios","35-44"
"00","13/06/2021","1","ios","45-54"
"00","13/07/2021","1","android","25-34"
"00","13/07/2021","1","android","Unknown"
"00","13/07/2021","1","ios","35-44"
"00","13/07/2021","2","ios","Unknown"
"00","13/08/2021","1","android","35-44"
"00","13/08/2021","1","android","Unknown"
"00","13/08/2021","1","ios","25-34"
"00","13/08/2021","1","ios","35-44"
"00","13/08/2021","2","ios","Unknown"
"00","13/08/2021","1","web","35-44"
"00","13/09/2021","2","ios","25-34"
"00","13/09/2021","1","ios","35-44"
"00","13/10/2021","2","ios","25-34"
"00","13/10/2021","2","ios","35-44"
"00","13/10/2021","1","ios","Unknown"
"00","13/11/2021","1","android","18-24"
"00","13/11/2021","1","android","Unknown"
"00","13/11/2021","1","ios","18-24"
"00","13/11/2021","1","ios","35-44"
"00","13/11/2021","1","ios","Unknown"
"00","13/11/2021","1","web","35-44"
"00","13/12/2021","2","android","Unknown"
"00","13/12/2021","1","ios","35-44"
"00","13/12/2021","1","ios","Unknown"
"00","14/01/2021","1","ios","18-24"
"00","14/01/2022","1","ios","45-54"
"00","14/01/2022","1","ios","Unknown"
"00","14/02/2021","1","ios","25-34"
"00","14/02/2022","1","android","Unknown"
"00","14/02/2022","1","ios","18-24"
"00","14/02/2022","1","ios","25-34"
"00","14/02/2022","1","web","35-44"
"00","14/03/2021","1","android","25-34"
"00","14/04/2021","1","ios","18-24"
"00","14/04/2021","1","ios","35-44"
"00","14/05/2021","1","ios","Unknown"
"00","14/06/2021","1","android","Unknown"
"00","14/06/2021","1","ios","25-34"
"00","14/06/2021","3","ios","35-44"
"00","14/06/2021","1","web","18-24"
"00","14/07/2021","2","android","35-44"
"00","14/07/2021","2","android","Unknown"
"00","14/07/2021","2","ios","35-44"
"00","14/08/2021","1","android","Unknown"
"00","14/08/2021","1","ios","35-44"
"00","14/08/2021","2","ios","Unknown"
"00","14/08/2021","1","web","45-54"
"00","14/08/2021","1","web","Unknown"
"00","14/09/2021","1","android","25-34"
"00","14/09/2021","2","android","35-44"
"00","14/09/2021","1","ios","25-34"
"00","14/09/2021","1","ios","35-44"
"00","14/09/2021","1","ios","45-54"
"00","14/09/2021","2","ios","Unknown"
"00","14/10/2021","1","android","18-24"
"00","14/10/2021","1","android","35-44"
"00","14/10/2021","3","ios","35-44"
"00","14/10/2021","1","ios","45-54"
"00","14/10/2021","1","web","35-44"
"00","14/11/2021","1","android","Unknown"
"00","14/11/2021","1","ios","25-34"
"00","14/11/2021","1","ios","35-44"
"00","14/11/2021","2","ios","Unknown"
"00","14/12/2021","1","android","25-34"
"00","14/12/2021","1","android","35-44"
"00","14/12/2021","1","ios","25-34"
"00","14/12/2021","3","ios","35-44"
"00","14/12/2021","1","ios","Unknown"
"00","15/01/2022","1","android","35-44"
"00","15/01/2022","1","android","45-54"
"00","15/01/2022","1","ios","18-24"
"00","15/01/2022","1","ios","35-44"
"00","15/01/2022","1","ios","45-54"
"00","15/01/2022","1","web","25-34"
"00","15/02/2021","1","ios","45-54"
"00","15/02/2021","1","ios","Unknown"
"00","15/02/2022","1","ios","35-44"
"00","15/02/2022","1","ios","45-54"
"00","15/02/2022","1","web","Unknown"
"00","15/04/2021","1","ios","25-34"
"00","15/05/2021","1","android","35-44"
"00","15/05/2021","1","android","45-54"
"00","15/05/2021","1","ios","35-44"
"00","15/05/2021","1","ios","Unknown"
"00","15/05/2021","1","web","Unknown"
"00","15/06/2021","1","ios","18-24"
"00","15/06/2021","1","ios","25-34"
"00","15/06/2021","1","ios","Unknown"
"00","15/07/2021","1","android","35-44"
"00","15/07/2021","1","ios","18-24"
"00","15/07/2021","1","ios","25-34"
"00","15/07/2021","1","ios","35-44"
"00","15/07/2021","1","ios","Unknown"
"00","15/08/2021","2","ios","35-44"
"00","15/08/2021","3","ios","Unknown"
"00","15/08/2021","1","web","35-44"
"00","15/09/2021","1","ios","18-24"
"00","15/09/2021","1","ios","35-44"
"00","15/09/2021","2","ios","Unknown"
"00","15/09/2021","2","web","35-44"
"00","15/09/2021","1","web","Unknown"
"00","15/10/2021","1","android","18-24"
"00","15/10/2021","1","android","45-54"
"00","15/10/2021","1","ios","18-24"
"00","15/10/2021","1","ios","45-54"
"00","15/10/2021","1","ios","Unknown"
"00","15/10/2021","1","web","18-24"
"00","15/11/2021","1","android","35-44"
"00","15/11/2021","2","android","45-54"
"00","15/11/2021","3","ios","25-34"
"00","15/11/2021","1","ios","Unknown"
"00","15/12/2021","1","android","Unknown"
"00","15/12/2021","1","ios","25-34"
"00","15/12/2021","2","ios","35-44"
"00","16/01/2022","1","android","25-34"
"00","16/01/2022","1","ios","25-34"
"00","16/01/2022","1","ios","Unknown"
"00","16/02/2021","1","android","Unknown"
"00","16/02/2021","2","ios","18-24"
"00","16/02/2021","1","ios","35-44"
"00","16/02/2022","1","android","35-44"
"00","16/02/2022","1","android","45-54"
"00","16/02/2022","1","ios","35-44"
"00","16/03/2021","1","ios","25-34"
"00","16/04/2021","1","android","25-34"
"00","16/04/2021","1","android","Unknown"
"00","16/04/2021","1","ios","25-34"
"00","16/04/2021","2","ios","35-44"
"00","16/06/2021","1","android","18-24"
"00","16/06/2021","1","ios","25-34"
"00","16/06/2021","1","ios","35-44"
"00","16/07/2021","1","android","18-24"
"00","16/07/2021","1","ios","45-54"
"00","16/07/2021","1","ios","Unknown"
"00","16/07/2021","1","web","18-24"
"00","16/07/2021","1","web","35-44"
"00","16/07/2021","1","web","Unknown"
"00","16/08/2021","1","android","25-34"
"00","16/08/2021","1","android","35-44"
"00","16/08/2021","1","android","45-54"
"00","16/08/2021","2","ios","25-34"
"00","16/08/2021","1","web","45-54"
"00","16/09/2021","1","android","25-34"
"00","16/09/2021","1","ios","18-24"
"00","16/09/2021","2","ios","35-44"
"00","16/09/2021","2","ios","Unknown"
"00","16/09/2021","1","web","Unknown"
"00","16/10/2021","1","android","18-24"
"00","16/10/2021","1","ios","18-24"
"00","16/10/2021","2","ios","Unknown"
